"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1795413328564785401","Wed May 29 00:13:54 +0000 2024","7","@SelebtwitFess Kalau mobil pertama dan baru bisa nyetir mending pilih brand yg sudah banyak di jalan. Perawatan dan sparepart mudah didapat. Ignis ga rekomen buat keluarga ga enak. Livina lega tp kegedean buat pemula. Hyundai? Skip dulu.","1795609473941397768","","SelebtwitFess","in","","0","1","0","https://x.com/sastropwr/status/1795609473941397768","829589997078536193","sastropwr"
"1795325394645840024","Tue May 28 05:40:15 +0000 2024","18","@jogmfs jelas Creta. Merk Hyundai tidak sebesar Honda untuk mengejar itu Hyundai terus berinovasi memberikan fitur yg lebih canggih. Kalo Honda krn dia sudah pnya nama besar jd tdk terlalu improve di fiturnya. Org sudah percaya dgn kualitas Honda. Kalo hp ibarat Xiaomi sama Samsung","1795329217858855145","","jogmfs","in","","1","1","0","https://x.com/roticoklar/status/1795329217858855145","1736571713155170304","roticoklar"
"1794968064733126683","Mon May 27 05:45:10 +0000 2024","4","Hyundai Pony Coupe https://t.co/laGJqKzUoZ","1794968064733126683","https://pbs.twimg.com/media/GOkB7zYXoAAjejZ.jpg","","in","pretoria","0","0","0","https://x.com/BoitumeloCaleb/status/1794968064733126683","434370629","BoitumeloCaleb"
"1795778272552161444","Wed May 29 11:30:12 +0000 2024","7","@thinkingvols Hyundai","1795779671055024137","","thinkingvols","in","Dreaming Garret","0","1","0","https://x.com/4adybug/status/1795779671055024137","1410576492480794628","4adybug"
"1795159435108589687","Mon May 27 18:25:36 +0000 2024","110","Kim and Paulo Team Hyundai ️‍ KIMPAU WWWSKEP34 #WhatsWrongWithSecretaryKimPH #KimPauOnViu #KimPauOniWantTFC #KimPau #PauloAvelino #KimChiu https://t.co/dTdJzckuq6","1795159435108589687","https://pbs.twimg.com/ext_tw_video_thumb/1795159401071775746/pu/img/J2J_pwZ1dAZWgJJE.jpg","","in","Bahrain","0","1","34","https://x.com/_imthaliar/status/1795159435108589687","1728390592537792512","_imthaliar"
"1795413328564785401","Tue May 28 23:51:29 +0000 2024","22","@SelebtwitFess Sama saya juga lagi nyari harga segitu untuk keluarga kecil tapi nyari yg 5 seat aja. Pilihan : 1. Hyundai Avega 2012/2013 AT 2. Suzuki Swift GX AT 3. Honda Brio AT 4. Nissan Juke 5. Nissan March 6. Kia Rio Atau ada pilihan lain? Mohon suhu","1795603833894347243","","SelebtwitFess","in","Jakarta Capital Region","1","34","1","https://x.com/formysonyza/status/1795603833894347243","3261378756","formysonyza"
"1796515886117142716","Fri May 31 12:47:07 +0000 2024","3","@justphysicist berbat","1796523804900085936","","justphysicist","in","Küçük Sanayi Sitesi, Turgutlu","0","0","0","https://x.com/sanai_muptelasi/status/1796523804900085936","1413924756500402183","sanai_muptelasi"
"1796106654552936855","Thu May 30 10:03:31 +0000 2024","11","@sociotalker Saya sempat bergabung di Bimantara ( kerja sama dgn Hyundai ) di divisi Business Development unt industri otomotif Bimantara direkrut oleh salah direkturnya ( eks Direktur Mitsubishi ) Ada bbrp orang eks Toyota juga yg gabung","1796120246681579674","","MaliminRinaldi","in","Pancoran, Indonesia","0","1","0","https://x.com/MaliminRinaldi/status/1796120246681579674","4597496354","MaliminRinaldi"
"1795413328564785401","Wed May 29 04:58:14 +0000 2024","5","@SelebtwitFess Krn hobi dan suka main daerah pegunungan main ke jauh2 kayak sumatera dan bali naik mobil. Udh jelas pilihanya Hyundai Tucson 2012 yg tinggi mobilnya. Kalau pilihan alternatif lainnya bs Kia Sportage harganya mirip2 lah kurang lbh dgn Hyundai Tucson. Klo sy pilih Kia Sportage.","1795681028897677350","","SelebtwitFess","in","Jakarta Capital Region","0","1","0","https://x.com/andrie_pratama/status/1795681028897677350","69883885","andrie_pratama"
"1796801406177010140","Sat Jun 01 07:10:12 +0000 2024","214","Hyundai N Vision 74 https://t.co/dIbxuNHkDF","1796801406177010140","https://pbs.twimg.com/media/GO-FWq_agAAEZeR.jpg","","in","Australia","0","1","17","https://x.com/Holden88805/status/1796801406177010140","1035727726424948736","Holden88805"
"1796459241890619417","Fri May 31 09:07:57 +0000 2024","8","@ElvishYadav @HyundaiIndia @HMGnewsroom @Hyundai_Global @Mr_Unsoo New car liya Tabhi Wapas se Controversy krke views le raha hai taki EMI bhar sake","1796468647873122704","","ElvishYadav","in","India","0","0","0","https://x.com/TrueKhabri/status/1796468647873122704","1431838680973381633","TrueKhabri"
"1794693808132968663","Mon May 27 04:07:32 +0000 2024","5","@kokosegaris @anakgawlllll Gw punya relasi chindo uang milyaran dia punya 2 BPR &amp; 4 toko mas. Kemana2 selalu pake mobil jadul hyundai atoz pakaian jg biasa bkn branded. Penampilan sederhana tp sebenarnya kaya dgn asset yg banyak.","1794943496954286468","","kokosegaris","in","Jakarta Capital Region","0","0","0","https://x.com/cuanforever/status/1794943496954286468","1469149320729354240","cuanforever"
